Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C103, C105",1206,4,4u7,C29823
"C104, C106, C107, C108, C110",0402,5,100n,C1525
C109,0402,1,100p,C1546
"C112, C113, C114, C115",1206,4,22uF,C87996
D101,D_SMB,1,SMBJ24A,C224017
D102,0805,1,red,C84256
D103,0805,1,green,C2297
D104,SOT-23,1,NUP2105L,C14486
F101,1206,1,0466002.NRHF,C3105
J101,PinSocket_2x20_P2.54mm_Vertical,1,GPIO,C5307344
J102,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,XT30,C431092
J103,Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal,1,Tool,C122413
J104,Molex_Micro-Fit_3.0_43650-0300_1x03_P3.00mm_Horizontal,1,Controller,C503478
J105,Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal,1,Monitor,C192562
L101,L_Changjiang_FXL1350,1,2u2,C2847569
"R101, R102, R105",0402,3,20k,C25765
R103,1206,1,0R,C17888
R104,0402,1,3k3,C270612
R106,0402,1,76.8k,C26987
R107,0402,1,10k,0402WGF1002TCE
R108,0402,1,120R,C25079
U101,RPA0010A,1,TPS56637RPAR,C841386
U102,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
